"brand","model","vehicle_age","km_driven","seller_type","fuel_type","transmission_type","mileage","engine","max_power","seats","selling_price","actual_price","fixed_profit"
"BMW","7","13","70000","Dealer","Petrol","Automatic","8.45","2979","321","5","750000","685000","65000"
"BMW","X1","2","22450","Dealer","Diesel","Automatic","20.68","1995","190","5","3011000","2926000","85000"
"BMW","X1","4","30000","Individual","Diesel","Automatic","20.68","1995","188","5","2700000","2615000","85000"
"BMW","X1","7","24000","Dealer","Diesel","Automatic","17.05","1995","184","5","1675000","1590000","85000"
"BMW","X5","2","19000","Individual","Diesel","Automatic","13.38","2993","265","5","7900000","7815000","85000"
"BMW","Z4","1","2000","Dealer","Petrol","Automatic","11.29","2998","335","2","8250000","8165000","85000"
"Datsun","GO","3","10000","Individual","Petrol","Manual","20.62","1198","67","7","480000","435000","45000"
"Datsun","GO","3","68000","Individual","Petrol","Manual","19.83","1198","67","5","370000","325000","45000"
"Datsun","GO","4","15000","Individual","Petrol","Manual","19.44","1198","67","7","469000","424000","45000"
"Datsun","GO","4","15000","Individual","Petrol","Manual","19.44","1198","67","7","500000","455000","45000"
"Datsun","GO","4","20000","Individual","Petrol","Manual","20.63","1198","67.06","5","300000","280000","20000"
"Datsun","GO","4","42000","Individual","Petrol","Manual","20.63","1198","67.06","5","330000","285000","45000"
"Datsun","GO","5","33350","Individual","Petrol","Manual","19.44","1198","67","7","320000","275000","45000"
"Datsun","GO","5","58000","Individual","Petrol","Manual","19.44","1198","67","7","460000","415000","45000"
"Datsun","GO","6","35000","Individual","Petrol","Manual","19.44","1198","67","7","350000","305000","45000"
"Datsun","GO","6","35000","Individual","Petrol","Manual","19.44","1198","67","7","400000","355000","45000"
"Datsun","GO","6","70000","Individual","Petrol","Manual","20.62","1198","67","7","300000","280000","20000"
"Datsun","RediGO","2","10000","Individual","Petrol","Manual","22.7","799","53.64","5","260000","240000","20000"
"Datsun","RediGO","3","20000","Individual","Petrol","Manual","22.7","799","53.64","5","210000","190000","20000"
"Datsun","RediGO","3","27263","Individual","Petrol","Manual","22.5","999","68","5","350000","305000","45000"
"Datsun","RediGO","3","30000","Individual","Petrol","Manual","22.5","999","67","5","270000","250000","20000"
"Datsun","RediGO","4","40000","Dealer","Petrol","Manual","22.5","999","67","5","295000","275000","20000"
"Datsun","RediGO","5","10000","Individual","Petrol","Manual","22.7","799","53.64","5","245000","225000","20000"
"Ford","Aspire","3","8000","Individual","Petrol","Manual","18.16","1196","86.8","5","590000","525000","65000"
"Ford","Aspire","3","10000","Individual","Petrol","Manual","18.16","1196","86.8","5","630000","565000","65000"
"Ford","Aspire","4","30000","Individual","Petrol","Manual","18.16","1196","86.8","5","480000","435000","45000"
"Ford","Aspire","4","36000","Dealer","Diesel","Manual","25.83","1498","99","5","585000","520000","65000"
"Ford","Aspire","4","58000","Dealer","Petrol","Manual","18.16","1196","86.8","5","500000","455000","45000"
"Ford","Aspire","6","42000","Individual","Diesel","Manual","25.83","1498","99","5","390000","345000","45000"
"Ford","Aspire","6","63000","Dealer","Diesel","Manual","25.83","1498","99","5","475000","430000","45000"
"Ford","Ecosport","2","4000","Individual","Petrol","Manual","17","1497","121.36","5","800000","735000","65000"
"Ford","Ecosport","2","15000","Individual","Petrol","Manual","18.1","999","123.24","5","1000000","915000","85000"
"Ford","Ecosport","2","22346","Dealer","Petrol","Manual","17","1497","121.36","5","955000","870000","85000"
"Ford","Ecosport","3","7500","Individual","Diesel","Manual","23","1498","98.96","5","890000","805000","85000"
"Ford","Ecosport","3","55000","Individual","Diesel","Manual","23","1498","98.96","5","925000","840000","85000"
"Ford","Ecosport","4","35000","Individual","Diesel","Manual","23","1498","98.96","5","785000","720000","65000"
"Ford","Ecosport","4","39884","Dealer","Diesel","Manual","23","1498","98.96","5","880000","795000","85000"
"Ford","Ecosport","4","40000","Individual","Petrol","Manual","15.85","1499","110.4","5","700000","635000","65000"
"Ford","Ecosport","4","55000","Dealer","Diesel","Manual","23","1498","98.96","5","685000","620000","65000"
"Ford","Ecosport","5","23256","Dealer","Petrol","Manual","17","1497","121.36","5","585000","520000","65000"
"Ford","Ecosport","5","35200","Dealer","Petrol","Automatic","14.7","1496","120.69","5","725000","660000","65000"
"Ford","Ecosport","5","67000","Dealer","Diesel","Manual","22.77","1498","98.59","5","525000","460000","65000"
"Ford","Ecosport","5","72000","Individual","Diesel","Manual","22.77","1498","98.59","5","650000","585000","65000"
"Ford","Ecosport","5","78247","Dealer","Diesel","Manual","21.7","1498","98.96","5","545000","480000","65000"
"Ford","Ecosport","6","30000","Dealer","Diesel","Manual","22.77","1498","98.59","5","570000","505000","65000"
"Ford","Ecosport","6","58000","Dealer","Diesel","Manual","23","1498","98.96","5","570000","505000","65000"
"Ford","Ecosport","6","61000","Dealer","Petrol","Manual","15.8","1499","110","5","525000","460000","65000"
"Ford","Ecosport","6","162828","Dealer","Diesel","Manual","22.77","1498","98.59","5","531000","466000","65000"
"Ford","Ecosport","7","65597","Dealer","Diesel","Manual","22.7","1498","89.84","5","575000","510000","65000"
"Ford","Ecosport","7","150000","Individual","Diesel","Manual","22.7","1498","89.84","5","470000","425000","45000"
"Ford","Ecosport","8","62000","Dealer","Diesel","Manual","22.7","1498","89.84","5","470000","425000","45000"
"Ford","Ecosport","8","80000","Dealer","Diesel","Manual","22.7","1498","89.84","5","475000","430000","45000"
"Ford","Endeavour","3","11387","Individual","Diesel","Automatic","10.91","3198","197","7","2900000","2815000","85000"
"Ford","Endeavour","4","62876","Dealer","Diesel","Automatic","10.91","3198","197","7","2875000","2790000","85000"
"Ford","Endeavour","10","30000","Individual","Diesel","Automatic","11.4","2953","153.86","7","950000","865000","85000"
"Ford","Endeavour","10","62000","Dealer","Diesel","Automatic","11.4","2953","153.86","7","425000","380000","45000"
"Ford","Figo","3","64000","Dealer","Diesel","Manual","24.4","1499","98.96","5","550000","485000","65000"
"Ford","Figo","4","19093","Dealer","Petrol","Manual","18.16","1196","86.8","5","525000","460000","65000"
"Ford","Figo","4","53000","Individual","Diesel","Manual","25.83","1498","99","5","400000","355000","45000"
"Ford","Figo","5","60000","Individual","Petrol","Manual","18.16","1196","86.8","5","420000","375000","45000"
"Ford","Figo","6","34500","Dealer","Petrol","Manual","15.6","1196","70","5","335000","290000","45000"
"Ford","Figo","6","58000","Individual","Petrol","Manual","18.16","1196","86.8","5","290000","270000","20000"
"Ford","Figo","8","43434","Individual","Diesel","Manual","20","1399","68.1","5","280000","260000","20000"
"Ford","Figo","9","68000","Dealer","Diesel","Manual","20","1399","68.05","5","169000","149000","20000"
"Ford","Figo","9","74000","Dealer","Diesel","Manual","20","1399","68.05","5","185000","165000","20000"
"Ford","Figo","9","74000","Dealer","Diesel","Manual","20","1399","68.05","5","190000","170000","20000"
"Ford","Figo","9","80000","Individual","Diesel","Manual","20","1399","68","5","173000","153000","20000"
"Ford","Figo","10","10000","Individual","Diesel","Manual","20","1399","68","5","250000","230000","20000"
"Ford","Figo","10","40000","Individual","Petrol","Manual","15.6","1196","70","5","130000","110000","20000"
"Ford","Figo","10","60000","Individual","Diesel","Manual","20","1399","68","5","300000","280000","20000"
"Ford","Figo","10","100000","Individual","Diesel","Manual","20","1399","68","5","170000","150000","20000"
"Ford","Figo","10","160800","Individual","Diesel","Manual","20","1399","68","5","250000","230000","20000"
"Ford","Freestyle","2","50000","Individual","Petrol","Manual","19","1194","94.68","5","650000","585000","65000"
"Honda","Amaze","1","1800","Individual","Petrol","Manual","19.5","1199","88.76","5","720000","655000","65000"
"Honda","Amaze","2","4717","Dealer","Petrol","Automatic","19","1199","88.76","5","785000","720000","65000"
"Honda","Amaze","2","10000","Individual","Petrol","Manual","19.5","1199","88.76","5","650000","585000","65000"
"Honda","Amaze","2","21100","Dealer","Petrol","Automatic","18.1","1199","88.7","5","775000","710000","65000"
"Honda","Amaze","2","25000","Dealer","Petrol","Manual","18.6","1199","88.76","5","640000","575000","65000"
"Honda","Amaze","3","25000","Individual","Petrol","Automatic","18.1","1199","88.7","5","550000","485000","65000"
"Honda","Amaze","3","50000","Individual","Diesel","Manual","25.8","1498","98.6","5","720000","655000","65000"
"Honda","Amaze","3","50000","Individual","Petrol","Manual","17.8","1198","86.7","5","550000","485000","65000"
"Honda","Amaze","4","33869","Dealer","Petrol","Manual","17.8","1198","86.7","5","527000","462000","65000"
"Honda","Amaze","4","58900","Individual","Petrol","Manual","17.8","1198","86.7","5","470000","425000","45000"
"Honda","Amaze","5","13433","Dealer","Petrol","Manual","17.8","1198","86.7","5","551000","486000","65000"
"Honda","Amaze","5","34000","Dealer","Petrol","Manual","18","1198","86.7","5","500000","455000","45000"
"Honda","Amaze","5","35118","Dealer","Petrol","Manual","17.8","1198","86.7","5","475000","430000","45000"
"Honda","Amaze","5","39993","Dealer","Petrol","Manual","18.6","1199","88.76","5","465000","420000","45000"
"Honda","Amaze","5","100000","Individual","Diesel","Manual","25.8","1498","98.6","5","320000","275000","45000"
"Honda","Amaze","6","16942","Dealer","Petrol","Manual","18","1198","86.7","5","439000","394000","45000"
"Honda","Amaze","6","41604","Dealer","Petrol","Manual","18","1198","86.7","5","400000","355000","45000"
"Honda","Amaze","6","59000","Dealer","Petrol","Manual","18","1198","86.7","5","395000","350000","45000"
"Honda","Amaze","6","70000","Individual","Diesel","Manual","25.8","1498","98.6","5","350000","305000","45000"
"Honda","Amaze","7","27233","Dealer","Diesel","Manual","25.8","1498","98.6","5","445000","400000","45000"
"Honda","Amaze","7","45120","Dealer","Diesel","Manual","25.8","1498","98.6","5","367000","322000","45000"
"Honda","Amaze","7","50000","Individual","Petrol","Manual","18","1198","86.7","5","400000","355000","45000"
"Honda","Amaze","7","89000","Individual","Diesel","Manual","25.8","1498","98.6","5","320000","275000","45000"
"Honda","Amaze","8","64000","Dealer","CNG","Manual","18","1198","86.7","5","349000","304000","45000"
"Honda","Amaze","8","73000","Dealer","Diesel","Manual","25.8","1498","98.6","5","325000","280000","45000"
"Honda","Amaze","8","73100","Dealer","Diesel","Manual","25.8","1498","98.6","5","324000","279000","45000"
"Honda","Amaze","8","75000","Dealer","Diesel","Manual","25.8","1498","98.6","5","325000","280000","45000"
"Honda","Amaze","8","208000","Individual","Diesel","Manual","25.8","1498","98.6","5","300000","280000","20000"
"Honda","City","2","16000","Dealer","Petrol","Manual","17.4","1497","117.6","5","1075000","990000","85000"
"Honda","City","2","23000","Individual","Petrol","Manual","17.4","1497","117.6","5","960000","875000","85000"
"Honda","City","3","12000","Individual","Petrol","Automatic","18","1497","117.6","5","960000","875000","85000"
"Honda","City","3","25000","Individual","Petrol","Manual","17.4","1497","117.3","5","750000","685000","65000"
"Honda","City","3","31318","Dealer","Petrol","Manual","17.8","1497","117.3","5","885000","800000","85000"
"Honda","City","3","31543","Dealer","Petrol","Manual","16.8","1497","116.3","5","875000","790000","85000"
"Honda","City","4","32226","Dealer","Petrol","Manual","17.8","1497","117.3","5","755000","690000","65000"
"Honda","City","4","32440","Individual","Petrol","Manual","17.4","1497","117.6","5","785000","720000","65000"
"Honda","City","4","50000","Individual","Petrol","Manual","17.14","1497","117.6","5","1050000","965000","85000"
"Honda","City","5","40000","Individual","Petrol","Automatic","18","1497","117.3","5","845000","760000","85000"
"Honda","City","5","49625","Dealer","Petrol","Manual","17.8","1497","117.3","5","725000","660000","65000"
"Honda","City","5","53000","Dealer","Petrol","Manual","16.8","1497","116.3","5","770000","705000","65000"
"Honda","City","5","55000","Dealer","Petrol","Manual","17.8","1497","117.3","5","650000","585000","65000"
"Honda","City","5","55670","Dealer","Petrol","Manual","17.8","1497","117.3","5","700000","635000","65000"
"Honda","City","5","60000","Individual","Diesel","Manual","26","1498","98.6","5","750000","685000","65000"
"Honda","City","5","70333","Dealer","Petrol","Manual","17.8","1497","117.3","5","700000","635000","65000"
"Honda","City","5","80000","Dealer","Petrol","Automatic","18","1497","117.3","5","680000","615000","65000"
"Honda","City","6","28000","Dealer","Petrol","Automatic","18","1497","117.3","5","670000","605000","65000"
"Honda","City","6","31180","Dealer","Petrol","Automatic","18","1497","117.3","5","1270000","635000","635000"
"Honda","City","6","50000","Individual","Diesel","Manual","25.1","1498","98.6","5","700000","635000","65000"
"Honda","City","6","50000","Individual","Petrol","Manual","17.4","1497","117.3","5","650000","585000","65000"
"Honda","City","6","50000","Individual","Petrol","Manual","17.4","1497","117.3","5","750000","685000","65000"
"Honda","City","6","70000","Individual","Diesel","Manual","25.1","1498","98.6","5","700000","635000","65000"
"Honda","City","7","46000","Individual","Diesel","Manual","26","1498","98.6","5","501000","436000","65000"
"Honda","City","7","55000","Dealer","Diesel","Manual","26","1498","98.6","5","549000","484000","65000"
"Honda","City","7","63000","Dealer","Diesel","Manual","26","1498","98.6","5","475000","430000","45000"
"Honda","City","7","63000","Dealer","Petrol","Manual","17.8","1497","117.3","5","435000","390000","45000"
"Honda","City","7","66100","Dealer","Diesel","Manual","26","1498","98.6","5","530000","465000","65000"
"Honda","City","7","69000","Dealer","Diesel","Manual","25.1","1498","98.6","5","550000","485000","65000"
"Honda","City","7","69000","Dealer","Diesel","Manual","26","1498","98.6","5","490000","445000","45000"
"Honda","City","7","77000","Dealer","Diesel","Manual","26","1498","98.6","5","525000","460000","65000"
"Honda","City","7","86113","Dealer","Petrol","Manual","17.4","1497","117.3","5","550000","485000","65000"
"Honda","City","7","100000","Individual","Diesel","Manual","26","1498","98.6","5","570000","505000","65000"
"Honda","City","7","110000","Individual","Diesel","Manual","25.1","1498","98.6","5","550000","485000","65000"
"Honda","City","7","120000","Individual","Diesel","Manual","26","1498","98.6","5","450000","405000","45000"
"Honda","City","7","144000","Individual","Diesel","Manual","26","1498","98.6","5","410000","365000","45000"
"Honda","City","8","62000","Dealer","Petrol","Manual","16.8","1497","116.3","5","465000","420000","45000"
"Honda","City","8","70000","Individual","Petrol","Manual","16.8","1497","116.3","5","545000","480000","65000"
"Honda","City","8","74000","Dealer","Petrol","Manual","16.9","1497","100","5","580000","515000","65000"
"Honda","City","9","51000","Dealer","Petrol","Manual","16.8","1497","116.3","5","440000","395000","45000"
"Honda","City","10","55000","Dealer","Petrol","Manual","16.9","1497","100","5","350000","305000","45000"
"Honda","City","10","55000","Dealer","Petrol","Manual","17","1497","118","5","360000","315000","45000"
"Honda","City","10","60000","Dealer","Petrol","Manual","17","1497","118","5","350000","305000","45000"
"Honda","City","10","119000","Individual","Petrol","Manual","17","1497","118","5","400000","355000","45000"
"Honda","City","11","57977","Dealer","Petrol","Manual","17","1497","118","5","299000","279000","20000"
"Honda","City","11","86000","Dealer","Petrol","Manual","17","1497","118","5","335000","290000","45000"
"Honda","City","12","51000","Dealer","Petrol","Manual","17","1497","118","5","275000","255000","20000"
"Honda","City","12","66000","Dealer","Petrol","Manual","17","1497","118","5","262000","242000","20000"
"Honda","City","12","69000","Dealer","Petrol","Manual","17","1497","118","5","300000","280000","20000"
"Honda","City","12","75000","Dealer","Petrol","Manual","16.9","1497","100","5","340000","295000","45000"
"Honda","City","12","75000","Dealer","Petrol","Manual","17","1497","118","5","260000","240000","20000"
"Honda","City","14","77253","Dealer","Petrol","Manual","17.7","1497","78","5","145000","125000","20000"
"Honda","Civic","2","23000","Dealer","Petrol","Automatic","13.9","1799","130.2","5","1519000","1434000","85000"
"Honda","CR-V","4","34000","Dealer","Petrol","Automatic","12","2354","187.4","5","1775000","1690000","85000"
"Honda","CR-V","4","90000","Dealer","Petrol","Automatic","10.1","2354","152","5","1490000","1405000","85000"
"Honda","CR-V","6","80000","Dealer","Petrol","Automatic","13.7","1997","153.86","5","1290000","1205000","85000"
"Honda","Jazz","3","18000","Individual","Petrol","Manual","18.7","1199","88.7","5","600000","535000","65000"
"Honda","Jazz","3","20000","Dealer","Petrol","Automatic","17.1","1199","88.51","5","740000","675000","65000"
"Honda","Jazz","3","40000","Dealer","Petrol","Automatic","18.2","1199","88.7","5","670000","605000","65000"
"Honda","Jazz","4","30000","Dealer","Petrol","Manual","18.7","1199","88.7","5","525000","460000","65000"
"Honda","Jazz","5","23000","Dealer","Diesel","Manual","27.3","1498","98.6","5","525000","460000","65000"
"Honda","Jazz","5","29484","Dealer","Petrol","Manual","18.7","1199","88.7","5","465000","420000","45000"
"Honda","Jazz","5","66000","Dealer","Petrol","Manual","16","1198","90","5","530000","465000","65000"
"Honda","Jazz","6","88541","Dealer","Diesel","Manual","27.3","1498","98.6","5","500000","455000","45000"
"Honda","Jazz","9","58000","Dealer","Petrol","Manual","16.7","1198","88.8","5","320000","275000","45000"
"Honda","Jazz","10","60000","Individual","Petrol","Manual","16","1198","90","5","320000","275000","45000"
"Honda","Jazz","10","80000","Individual","Petrol","Manual","16.7","1198","88.8","5","250000","230000","20000"
"Honda","WR-V","2","5700","Dealer","Petrol","Manual","17.5","1199","88.7","5","875000","790000","85000"
"Honda","WR-V","2","25000","Individual","Petrol","Manual","17.5","1199","88.7","5","906000","821000","85000"
"Honda","WR-V","3","24000","Dealer","Petrol","Manual","17.5","1199","88.7","5","775000","710000","65000"
"Honda","WR-V","4","10000","Individual","Petrol","Manual","17.5","1199","88.7","5","800000","735000","65000"
"Honda","WR-V","4","21000","Dealer","Petrol","Manual","17.5","1199","88.7","5","650000","585000","65000"
"Hyundai","Aura","1","4500","Individual","Petrol","Manual","20.5","1197","81.86","5","900000","815000","85000"
"Hyundai","Aura","6","50000","Individual","Petrol","Manual","18.6","1197","81.83","5","450000","405000","45000"
"Hyundai","Creta","2","15000","Individual","Diesel","Manual","19.67","1582","126.2","5","1225000","1140000","85000"
"Hyundai","Creta","2","21000","Dealer","Petrol","Manual","15.8","1591","121.3","5","1250000","1165000","85000"
"Hyundai","Creta","2","39000","Dealer","Petrol","Manual","15.8","1591","121.3","5","920000","835000","85000"
"Hyundai","Creta","3","39000","Dealer","Petrol","Automatic","13","1591","121.3","5","1250000","1165000","85000"
"Hyundai","Creta","3","40000","Individual","Diesel","Manual","22.1","1396","88.7","5","1050000","965000","85000"
"Hyundai","Creta","3","60000","Individual","Diesel","Manual","19.67","1582","126.2","5","1000000","915000","85000"
"Hyundai","Creta","3","71000","Individual","Diesel","Manual","19.67","1582","126.2","5","1100000","1015000","85000"
"Hyundai","Creta","4","30000","Dealer","Petrol","Manual","15.8","1591","121.3","5","890000","805000","85000"
"Hyundai","Creta","4","46000","Dealer","Petrol","Automatic","13","1591","121.3","5","1095000","1010000","85000"
"Hyundai","Creta","4","48000","Dealer","Diesel","Manual","19.67","1582","126.2","5","990000","905000","85000"
"Hyundai","Creta","4","80000","Individual","Diesel","Manual","19.67","1582","126.2","5","1100000","1015000","85000"
"Hyundai","Creta","4","102000","Dealer","Diesel","Automatic","17.01","1582","126.2","5","1100000","1015000","85000"
"Hyundai","Creta","5","20699","Dealer","Petrol","Manual","15.29","1591","121.3","5","775000","710000","65000"
"Hyundai","Creta","5","43031","Dealer","Diesel","Manual","21.38","1396","88.7","5","1050000","965000","85000"
"Hyundai","Creta","5","52000","Dealer","Diesel","Automatic","17.01","1582","126.2","5","1050000","965000","85000"
"Hyundai","Creta","5","66500","Dealer","Petrol","Automatic","13","1591","121.3","5","998000","913000","85000"
"Hyundai","Elantra","4","43500","Dealer","Petrol","Automatic","14.62","1999","149.92","5","1245000","1160000","85000"
"Hyundai","Elantra","6","65000","Dealer","Diesel","Automatic","19.5","1582","126.24","5","795000","730000","65000"
"Hyundai","Elantra","8","56000","Dealer","Diesel","Automatic","19.5","1582","126.24","5","590000","525000","65000"
"Hyundai","Elantra","8","90000","Individual","Diesel","Manual","22.7","1582","126.24","5","615000","550000","65000"
"Hyundai","Grand","1","10000","Individual","Petrol","Automatic","20.7","1197","81.86","5","600000","535000","65000"
"Hyundai","Grand","1","15000","Individual","Petrol","Automatic","20.7","1197","81.86","5","650000","585000","65000"
"Hyundai","Grand","1","20000","Individual","Petrol","Manual","20.7","1197","81.86","5","650000","585000","65000"
"Hyundai","Grand","2","9000","Individual","Petrol","Manual","20.7","1197","81.86","5","710000","645000","65000"
"Hyundai","Grand","2","15000","Individual","Petrol","Automatic","18.9","1197","81.86","5","535000","470000","65000"
"Hyundai","Grand","2","30000","Individual","Petrol","Manual","18.9","1197","81.86","5","600000","535000","65000"
"Hyundai","Grand","2","36000","Dealer","Petrol","Manual","18.9","1197","81.86","5","495000","450000","45000"
"Hyundai","Grand","3","10000","Individual","Petrol","Manual","18.9","1197","81.86","5","451000","406000","45000"
"Hyundai","Grand","3","10000","Individual","Petrol","Manual","18.9","1197","81.86","5","510000","445000","65000"
"Hyundai","Grand","3","15000","Individual","Petrol","Manual","18.9","1197","81.86","5","525000","460000","65000"
"Hyundai","Grand","3","24200","Individual","Petrol","Manual","18.9","1197","81.86","5","600000","535000","65000"
"Hyundai","Grand","3","40000","Individual","Petrol","Manual","18.9","1197","81.86","5","450000","405000","45000"
"Hyundai","Grand","3","50000","Individual","Diesel","Manual","24","1186","73.97","5","545000","480000","65000"
"Hyundai","Grand","4","17000","Individual","Petrol","Manual","18.9","1197","82","5","425000","380000","45000"
"Hyundai","Grand","4","35000","Individual","Petrol","Manual","18.9","1197","81.86","5","490000","445000","45000"
"Hyundai","Grand","4","60000","Individual","Diesel","Manual","24","1186","73.97","5","510000","445000","65000"
"Hyundai","Grand","4","90000","Individual","Petrol","Manual","18.9","1197","82","5","470000","425000","45000"
"Hyundai","Grand","5","20000","Individual","Petrol","Manual","18.9","1197","82","5","550000","485000","65000"
"Hyundai","Grand","5","25000","Individual","Petrol","Manual","18.9","1197","82","5","475000","430000","45000"
"Hyundai","Grand","5","30000","Individual","Petrol","Manual","18.9","1197","82","5","390000","345000","45000"
"Hyundai","Grand","5","34000","Individual","Petrol","Manual","18.9","1197","82","5","550000","485000","65000"
"Hyundai","Grand","5","46000","Individual","Petrol","Manual","18.9","1197","82","5","455000","410000","45000"
"Hyundai","Grand","5","60000","Individual","Diesel","Manual","24","1120","70","5","400000","355000","45000"
"Hyundai","Grand","5","60000","Individual","Petrol","Manual","18.9","1197","82","5","460000","415000","45000"
"Hyundai","Grand","6","10000","Individual","Petrol","Manual","18.9","1197","82","5","350000","305000","45000"
"Hyundai","Grand","6","35000","Individual","Petrol","Manual","18.9","1197","82","5","356000","311000","45000"
"Hyundai","Grand","6","36000","Dealer","Petrol","Manual","18.9","1197","81.86","5","400000","355000","45000"
"Hyundai","Grand","6","50000","Individual","Petrol","Manual","18.9","1197","82","5","310000","265000","45000"
"Hyundai","Grand","6","50000","Individual","Petrol","Manual","18.9","1197","82","5","405000","360000","45000"
"Hyundai","Grand","6","55000","Dealer","Petrol","Manual","18.9","1197","82","5","360000","315000","45000"
"Hyundai","Grand","6","59000","Dealer","Petrol","Manual","18.9","1197","82","5","425000","380000","45000"
"Hyundai","Grand","6","62000","Dealer","Petrol","Manual","18.9","1197","82","5","370000","325000","45000"
"Hyundai","Grand","6","70000","Individual","Diesel","Manual","24","1120","70","5","455000","410000","45000"
"Hyundai","Grand","6","75000","Dealer","Diesel","Manual","24","1120","70","5","610000","305000","305000"
"Hyundai","Grand","7","40000","Individual","Petrol","Manual","18.9","1197","82","5","540000","475000","65000"
"Hyundai","Grand","7","80000","Individual","Diesel","Manual","24","1120","70","5","300000","280000","20000"
"Hyundai","Grand","8","61000","Dealer","Petrol","Manual","18.9","1197","82","5","325000","280000","45000"
"Hyundai","i10","5","47000","Dealer","Petrol","Manual","20.36","1197","78.9","5","365000","320000","45000"
"Hyundai","i10","7","32111","Dealer","Petrol","Manual","19.81","1086","68.05","5","310000","265000","45000"
"Hyundai","i10","7","40000","Individual","Petrol","Manual","20.36","1197","78.9","5","350000","305000","45000"
"Hyundai","i10","8","40000","Dealer","Petrol","Manual","20.36","1197","78.9","5","315000","270000","45000"
"Hyundai","i10","9","64000","Individual","Petrol","Manual","20.36","1197","78.9","5","250000","230000","20000"
"Hyundai","i10","9","70000","Individual","Petrol","Manual","19.81","1086","68.05","5","190000","170000","20000"
"Hyundai","i10","9","70000","Individual","Petrol","Manual","20.36","1197","78.9","5","200000","180000","20000"
"Hyundai","i10","9","73000","Dealer","Petrol","Manual","19.81","1086","68.05","5","240000","220000","20000"
"Hyundai","i10","9","110699","Dealer","Petrol","Manual","20.36","1197","78.9","5","194000","174000","20000"
"Hyundai","i10","10","29000","Dealer","Petrol","Manual","20.36","1197","78.9","5","235000","215000","20000"
"Hyundai","i10","10","58000","Dealer","Petrol","Manual","20.36","1197","78.9","5","190000","170000","20000"
"Hyundai","i10","10","70000","Individual","Petrol","Manual","19.81","1086","68.05","5","250000","230000","20000"
"Hyundai","i10","11","25000","Individual","Petrol","Manual","20.36","1197","78.9","5","300000","280000","20000"
"Hyundai","i10","11","28400","Individual","Petrol","Manual","20.36","1197","78.9","5","300000","280000","20000"
"Hyundai","i10","11","30000","Individual","Petrol","Manual","20.36","1197","78.9","5","300000","280000","20000"
"Hyundai","i10","11","90000","Individual","Petrol","Manual","19.81","1086","68.05","5","130000","110000","20000"
